model,layers,use
convnext,features.1.0.block.1,
convnext,features.1.0.block.2,
convnext,features.1.0.block.3,
convnext,features.1.0.block.4,
convnext,features.1.0.block.5,
convnext,features.1.0.block.6,1
convnext,features.1.0.stochastic_depth,
convnext,features.1.1,
convnext,features.1.1.block,
convnext,features.1.1.block.0,
convnext,features.1.1.block.1,
convnext,features.1.1.block.2,
convnext,features.1.1.block.3,
convnext,features.1.1.block.4,
convnext,features.1.1.block.5,
convnext,features.1.1.block.6,1
convnext,features.1.1.stochastic_depth,
convnext,features.1.2,
convnext,features.1.2.block,
convnext,features.1.2.block.0,
convnext,features.1.2.block.1,
convnext,features.1.2.block.2,
convnext,features.1.2.block.3,
convnext,features.1.2.block.4,
convnext,features.1.2.block.5,
convnext,features.1.2.block.6,1
convnext,features.1.2.stochastic_depth,
convnext,features.2,
convnext,features.2.0,
convnext,features.2.1,
convnext,features.3,
convnext,features.3.0,
convnext,features.3.0.block,
convnext,features.3.0.block.0,
convnext,features.3.0.block.1,
convnext,features.3.0.block.2,
convnext,features.3.0.block.3,
convnext,features.3.0.block.4,
convnext,features.3.0.block.5,
convnext,features.3.0.block.6,1
convnext,features.3.0.stochastic_depth,
convnext,features.3.1,
convnext,features.3.1.block,
convnext,features.3.1.block.0,
convnext,features.3.1.block.1,
convnext,features.3.1.block.2,
convnext,features.3.1.block.3,
convnext,features.3.1.block.4,
convnext,features.3.1.block.5,
convnext,features.3.1.block.6,1
convnext,features.3.1.stochastic_depth,
convnext,features.3.2,
convnext,features.3.2.block,
convnext,features.3.2.block.0,
convnext,features.3.2.block.1,
convnext,features.3.2.block.2,
convnext,features.3.2.block.3,
convnext,features.3.2.block.4,
convnext,features.3.2.block.5,
convnext,features.3.2.block.6,1
convnext,features.3.2.stochastic_depth,
convnext,features.4,
convnext,features.4.0,
convnext,features.4.1,
convnext,features.5,
convnext,features.5.0,
convnext,features.5.0.block,
convnext,features.5.0.block.0,
convnext,features.5.0.block.1,
convnext,features.5.0.block.2,
convnext,features.5.0.block.3,
convnext,features.5.0.block.4,
convnext,features.5.0.block.5,
convnext,features.5.0.block.6,1
convnext,features.5.0.stochastic_depth,
convnext,features.5.1,
convnext,features.5.1.block,
convnext,features.5.1.block.0,
convnext,features.5.1.block.1,
convnext,features.5.1.block.2,
convnext,features.5.1.block.3,
convnext,features.5.1.block.4,
convnext,features.5.1.block.5,
convnext,features.5.1.block.6,1
convnext,features.5.1.stochastic_depth,
convnext,features.5.2,
convnext,features.5.2.block,
convnext,features.5.2.block.0,
convnext,features.5.2.block.1,
convnext,features.5.2.block.2,
