sub,age,age_group,cond,curv_100.0_high,curv_100.0_low,curv_150.0_high,curv_150.0_low,curv_200.0_high,curv_200.0_low,curv_250.0_high,curv_250.0_low,curv_300.0_high,curv_300.0_low,axis_100.0_high,axis_100.0_low,axis_150.0_high,axis_150.0_low,axis_200.0_high,axis_200.0_low,axis_250.0_high,axis_250.0_low,axis_300.0_high,axis_300.0_low
6102,5.6,5yrold,deleted,0.75,0.0,0.75,0.5,,,,1.0,1.0,,0.0,0.75,0.6666666666666666,0.6666666666666666,,,1.0,,1.0,
6103,5.52,5yrold,complete,1.0,1.0,,0.0,,,,1.0,,,1.0,1.0,,0.0,,,,1.0,,
6104,5.71,5yrold,perturbed,0.75,1.0,,1.0,,,,,,0.5,0.6666666666666666,1.0,,1.0,,,,,1.0,0.3333333333333333
6105,4.53,4yrold,complete,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,1.0,1.0,,1.0,,0.6666666666666666,1.0,,1.0,
6106,4.64,4yrold,perturbed,1.0,0.5,1.0,0.5,,1.0,1.0,1.0,,1.0,0.75,1.0,0.75,1.0,,1.0,1.0,1.0,,1.0
6107,4.9,4yrold,deleted,,,1.0,1.0,,1.0,1.0,0.5,0.5,1.0,,,1.0,1.0,1.0,,1.0,0.0,0.5,1.0
6108,4.87,4yrold,complete,,,,,,,0.5,1.0,0.6666666666666666,1.0,,,,,,,0.5,1.0,1.0,0.5
6109,4.68,4yrold,perturbed,1.0,1.0,,1.0,,1.0,1.0,,0.5,1.0,1.0,1.0,,1.0,1.0,,,1.0,0.5,1.0
6110,4.12,4yrold,deleted,1.0,,1.0,1.0,0.6666666666666666,,1.0,,,1.0,1.0,,1.0,1.0,0.5,1.0,1.0,,,1.0
6112,4.44,4yrold,perturbed,1.0,0.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,,1.0,
6113,4.87,4yrold,deleted,,,,,,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,,,,,1.0,,0.0,0.75,1.0,0.6666666666666666
6114,4.21,4yrold,complete,0.75,0.25,,1.0,,1.0,1.0,,,,0.3333333333333333,0.6,,1.0,1.0,1.0,,1.0,,
6115,4.01,4yrold,perturbed,,,,,,,0.3333333333333333,0.5,0.5,,,,,,,,0.3333333333333333,0.5,0.0,1.0
6116,4.23,4yrold,deleted,1.0,0.0,1.0,,1.0,0.5,0.6666666666666666,0.0,,1.0,0.6666666666666666,0.6666666666666666,1.0,,0.5,1.0,0.3333333333333333,1.0,,1.0
6117,4.41,4yrold,complete,,,,,,,0.0,1.0,0.75,0.5,,,,,,,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
6118,4.38,4yrold,perturbed,0.6666666666666666,0.5,,0.5,1.0,1.0,,1.0,,0.0,0.6666666666666666,0.5,1.0,0.0,1.0,1.0,,1.0,,0.0
6119,3.95,3yrold,deleted,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,0.6666666666666666,0.0,,1.0,1.0,0.5,
6120,3.11,3yrold,complete,,,,,0.6666666666666666,1.0,,1.0,0.0,1.0,,,,,1.0,0.75,,1.0,0.3333333333333333,0.5
6121,3.58,3yrold,perturbed,,1.0,1.0,0.5,,1.0,,1.0,1.0,0.5,,1.0,1.0,0.6,1.0,,1.0,,1.0,0.5
6124,3.83,3yrold,perturbed,,,1.0,0.75,1.0,0.5,1.0,1.0,,1.0,,,,0.8,1.0,0.0,1.0,1.0,,1.0
6126,5.94,5yrold,complete,,,0.25,0.5,,1.0,0.0,0.0,,,,,0.25,0.5,1.0,1.0,,0.0,,
6128,3.13,3yrold,deleted,,,1.0,1.0,1.0,0.5,1.0,,0.6666666666666666,0.5,,,1.0,1.0,1.0,0.5,1.0,,0.3333333333333333,0.75
6129,3.87,3yrold,complete,1.0,0.5,1.0,1.0,1.0,,1.0,0.5,1.0,,0.5,1.0,1.0,1.0,1.0,,0.5,1.0,1.0,
6130,3.35,3yrold,perturbed,,,,,1.0,,1.0,1.0,,0.0,,,,,,1.0,,1.0,,0.0
6131,3.64,3yrold,deleted,,,,,,,0.0,0.0,0.16666666666666666,0.5,,,,,,,0.0,0.0,0.5,0.0
6132,3.9,3yrold,complete,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,,,,1.0,0.0,1.0,0.5,1.0,,1.0,,,,1.0
6133,3.37,3yrold,perturbed,0.5,0.0,1.0,,1.0,,1.0,1.0,,,0.0,0.5,1.0,,1.0,,1.0,1.0,,
6135,3.2,3yrold,deleted,0.5,,0.5,,1.0,,1.0,0.6666666666666666,1.0,0.5,0.0,1.0,0.0,1.0,1.0,,1.0,0.6666666666666666,0.5,1.0
6136,4.77,4yrold,deleted,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0
6137,3.99,3yrold,perturbed,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,
6138,4.52,4yrold,perturbed,1.0,1.0,,,1.0,0.5,1.0,,,1.0,1.0,1.0,,,,0.6666666666666666,1.0,,1.0,1.0
60682,4.3,4yrold,deleted,0.0,1.0,,,,,,,,,0.3333333333333333,0.5,,,,,,,,
60972,5.13,5yrold,complete,1.0,0.75,,1.0,1.0,,1.0,,,,0.8,1.0,1.0,,,1.0,1.0,,,
