,obj1,obj2,correlation,zscore,obj1_name,obj2_name
234,OBJ (31).png,OBJ (18).png,0.999181286230081,0.7132045423515069,lamp,elephant
235,OBJ (45).png,OBJ (18).png,0.9970298387093739,-0.7679292734660511,truck,elephant
236,OBJ (20).png,OBJ (18).png,0.9996669904534086,1.0475807903110674,flower,elephant
237,OBJ (17).png,OBJ (18).png,0.9992436411925775,0.7561319401377515,duck,elephant
238,OBJ (30).png,OBJ (18).png,0.9968292924722366,-0.9059925125644281,kite,elephant
239,OBJ (10).png,OBJ (18).png,0.9990753857200955,0.6402988242514037,butterfly,elephant
240,OBJ (6).png,OBJ (4).png,0.9983285525380861,0.12615201378900742,bear,apple
241,OBJ (25).png,OBJ (4).png,0.9974050958236458,-0.5095887858526031,hand,apple
242,OBJ (1).png,OBJ (4).png,0.9958987879961643,-1.5465852446741168,airplane,apple
243,OBJ (38).png,OBJ (4).png,0.9989479937453055,0.5525976091814869,rabbit,apple
244,OBJ (12).png,OBJ (4).png,0.9965258986602094,-1.1148597194929495,chair,apple
245,OBJ (21).png,OBJ (4).png,0.9983755754075255,0.15852424754011823,foot,apple
246,OBJ (19).png,OBJ (4).png,0.9974503336574648,-0.47844543479298607,fish,apple
247,OBJ (18).png,OBJ (4).png,0.9982058571704588,0.041684111928632396,elephant,apple
249,OBJ (41).png,OBJ (4).png,0.9973411510970498,-0.5536106343954856,spoon,apple
250,OBJ (47).png,OBJ (4).png,0.9993059280231652,0.7990124334687115,umbrella,apple
251,OBJ (46).png,OBJ (4).png,0.9991568289149085,0.6963672473687892,turtle,apple
252,OBJ (11).png,OBJ (4).png,0.9993265254151863,0.8131924185933619,cat,apple
253,OBJ (16).png,OBJ (4).png,0.9968836743336967,-0.8685540841572994,dog,apple
254,OBJ (44).png,OBJ (4).png,0.9963036866037781,-1.2678384874596047,tree,apple
255,OBJ (27).png,OBJ (4).png,0.9982091331295521,0.04393939993612531,guitar,apple
256,OBJ (14).png,OBJ (4).png,0.9959716841239254,-1.4964009297744643,cow,apple
257,OBJ (32).png,OBJ (4).png,0.9985013172094943,0.24508942431774675,leaf,apple
258,OBJ (23).png,OBJ (4).png,0.999399580208376,0.8634859644779209,frog,apple
259,OBJ (29).png,OBJ (4).png,0.9983181572564082,0.11899552818111042,key,apple
260,OBJ (7).png,OBJ (4).png,0.9938487981016402,-2.9578719833188227,bicycle,apple
261,OBJ (8).png,OBJ (4).png,0.9979456694438695,-0.1374384725653049,bird,apple
262,OBJ (22).png,OBJ (4).png,0.9966582417943249,-1.0237499483536314,fork,apple
263,OBJ (42).png,OBJ (4).png,0.9973735008731991,-0.5313398855495609,squirrel,apple
264,OBJ (31).png,OBJ (4).png,0.998357263375744,0.14591758656101517,lamp,apple
265,OBJ (45).png,OBJ (4).png,0.9951260083067289,-2.0785945636016425,truck,apple
266,OBJ (20).png,OBJ (4).png,0.997910223839564,-0.16184050080618834,flower,apple
267,OBJ (17).png,OBJ (4).png,0.997942421824434,-0.13967425053363067,duck,apple
268,OBJ (30).png,OBJ (4).png,0.9959662578765326,-1.5001365535483195,kite,apple
269,OBJ (10).png,OBJ (4).png,0.9976262769565776,-0.3573197426837272,butterfly,apple
270,OBJ (6).png,OBJ (41).png,0.9980294642940094,-0.07975108538109764,bear,spoon
271,OBJ (25).png,OBJ (41).png,0.9982894496320012,0.09923216752660353,hand,spoon
272,OBJ (1).png,OBJ (41).png,0.9970401304826864,-0.7608440467379499,airplane,spoon
273,OBJ (38).png,OBJ (41).png,0.9983584320555179,0.1467221477302942,rabbit,spoon
274,OBJ (12).png,OBJ (41).png,0.9987177578193731,0.3940949209994916,chair,spoon
275,OBJ (21).png,OBJ (41).png,0.9989784958998433,0.5735963888897658,foot,spoon
276,OBJ (19).png,OBJ (41).png,0.9987437732344776,0.41200486798771163,fish,spoon
277,OBJ (18).png,OBJ (41).png,0.9973487555486632,-0.548375456531763,elephant,spoon
278,OBJ (4).png,OBJ (41).png,0.9973411510970497,-0.553610634395562,apple,spoon
280,OBJ (47).png,OBJ (41).png,0.9964922572058358,-1.1380197060631072,umbrella,spoon
281,OBJ (46).png,OBJ (41).png,0.9987045580988207,0.3850077588534142,turtle,spoon
282,OBJ (11).png,OBJ (41).png,0.9986871861164289,0.3730482616680681,cat,spoon
283,OBJ (16).png,OBJ (41).png,0.9982145800657614,0.04768926663496035,dog,spoon
